dataset,classifier,type,TP,FP,TN,FN,Precision,Recall,AUC,F1,MCC,Kappa
"BOOKKEEPER","RandomForest","weighted","0.9788278947942813","0.765985376321375","0.23401462367862505","0.02117210520571865","0.9730692677780716","0.9788278947942813","0.8831588121841885","0.974245783095462","0.33885063549346234","0.30341017566574197"
"BOOKKEEPER","RandomForest","Class Buggy","44.0","35.0","8925.0","159.0","0.5569620253164557","0.21674876847290642","0.8831563929451091","0.3120567375886525","0.3388506354934623","0.30341017566574197"
"BOOKKEEPER","NaiveBayes","weighted","0.9237149405216633","0.5939119848566387","0.4060880151433614","0.07628505947833679","0.9664090707223555","0.9237149405216633","0.8086336863451157","0.9428404735431124","0.1882853071400984","0.15776388253498158"
"BOOKKEEPER","NaiveBayes","Class Buggy","80.0","576.0","8384.0","123.0","0.12195121951219512","0.39408866995073893","0.8086734693877551","0.18626309662398136","0.1882853071400984","0.15776388253498158"
"BOOKKEEPER","IBk","weighted","0.9722798210193169","0.6554002027927157","0.3445997972072841","0.027720178980683182","0.9710565955950098","0.9722798210193169","0.7624321567240868","0.9716507351717872","0.33160469070038","0.3312320732477552"
"BOOKKEEPER","IBk","Class Buggy","67.0","118.0","8842.0","136.0","0.3621621621621622","0.33004926108374383","0.7624224797677692","0.34536082474226804","0.33160469070038","0.3312320732477552"
