"dataset","type","TP","FP","TN","FN","Precision","Recall","AUC","F1","MCC","Kappa
"
"A","weighted","0.994215868165448","0.2023400984610145","0.7976599015389856","0.005784131834552003","0.9940153064868068","0.994215868165448","0.9822192777973258","0.9939817850922784","0.8587976667973081","0.8557347800681651"
"A","Class Buggy","161.0","11.0","8949.0","42.0","0.936046511627907","0.7931034482758621","0.9822192777973259","0.8586666666666667","0.8587976667973081","0.8557347800681651"
"B","weighted","0.9822595704948646","0.6612898697417816","0.33871013025821833","0.017740429505135387","0.9820251113809352","0.9822595704948646","0.931076946249711","0.977884851117946","0.5525238390401355","0.4757687201798068"
"B","Class Buggy","62.0","2.0","7302.0","131.0","0.96875","0.32124352331606215","0.9310662338473064","0.48249027237354086","0.5525238390401356","0.4757687201798068"
"B+","weighted","0.9939975990396158","0.17166942624480966","0.8283305737551903","0.006002400960384154","0.9938133244289937","0.9939975990396158","0.9882334330255549","0.9938121582326078","0.8748158633655593","0.8729700492245054"
"B+","Class Buggy","159.0","11.0","7293.0","34.0","0.9352941176470588","0.8238341968911918","0.9882334330255549","0.8760330578512396","0.8748158633655594","0.8729700492245054"
"C","weighted","0.9951980792316927","0.7951980792316928","0.20480192076830736","0.004801920768307323","0.9952211653892327","0.9951980792316927","0.8508454106280193","0.9936032244222991","0.44613726759648936","0.3319967923015254"
"C","Class Buggy","2.0","0.0","1656.0","8.0","1.0","0.2","0.8508454106280193","0.33333333333333337","0.44613726759648936","0.3319967923015254"
