#,Version,fileName,methodName,nAuth,methodHistories,loc,fain,fanout,wmc,returns,loops,comparison,maxNested,math,smells,buggy
"1","0.9.6","InValueDiscriminatorStrategy.java","getJavaType","1","1","1","1","0","1","0","0","0","0","0","0","no"
"1","0.9.6","MaxEmbeddedLobFieldStrategy.java","getExpectedJavaType","1","1","1","1","0","1","0","0","0","0","0","0","no"
"1","0.9.6","NoneClassStrategy.java","getAlias","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","NoneClassStrategy.java","getInstance","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","NoneDiscriminatorStrategy.java","getAlias","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","NoneDiscriminatorStrategy.java","getInstance","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","NoneFieldStrategy.java","getInstance","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","NoneFieldStrategy.java","getAlias","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","NoneVersionStrategy.java","getAlias","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","NoneVersionStrategy.java","getInstance","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","NumberVersionStrategy.java","getAlias","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","NumberVersionStrategy.java","getInitialValue","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","SubclassJoinDiscriminatorStrategy.java","getAlias","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","TimestampVersionStrategy.java","getAlias","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","UntypedPCValueHandler.java","getInstance","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ValueMapDiscriminatorStrategy.java","getAlias","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","VerticalClassStrategy.java","getAlias","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ClassMapping.java","getStrategy","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ClassMapping.java","getMappedPCSubclassMappings","1","1","3","2","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ClassMapping.java","getJoinForeignKey","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ClassMapping.java","getFieldMappings","1","1","3","4","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ClassMapping.java","getColumnIO","1","1","3","1","0","2","1","0","1","0","0","0","no"
"1","0.9.6","ClassMapping.java","getVersionFieldMapping","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ClassMapping.java","getMappingInfo","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ClassMapping.java","getDeclaredUnmanagedFieldMappings","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ClassMapping.java","getTable","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ClassMapping.java","getDefaultFetchGroupFieldMappings","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ClassMapping.java","getMappingRepository","1","1","3","2","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ClassMapping.java","getDeclaredFieldMappings","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ClassMapping.java","getFieldMappingsInListingOrder","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ClassMapping.java","getEmbeddingMapping","1","1","3","2","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ClassMapping.java","getMappedPCSuperclassMapping","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ClassMapping.java","getDiscriminator","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ClassMapping.java","getVersion","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ClassMapping.java","getPrimaryKeyFieldMappings","1","1","3","2","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ClassMapping.java","getDefinedFieldMappingsInListingOrder","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ClassMapping.java","getPCSuperclassMapping","1","1","3","2","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ClassMapping.java","getPCSubclassMappings","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ClassMapping.java","getDefinedFieldMappings","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Discriminator.java","getClassMapping","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Discriminator.java","getIndex","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Discriminator.java","getColumns","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Discriminator.java","getValue","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Discriminator.java","getMappingInfo","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Discriminator.java","syncMappingInfo","1","1","3","0","0","1","0","0","0","0","0","0","no"
"1","0.9.6","Discriminator.java","getStrategy","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Discriminator.java","getColumnIO","1","1","3","1","0","2","1","0","1","0","0","0","no"
"1","0.9.6","Discriminator.java","getResolve","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","FieldMapping.java","getJoinForeignKey","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","FieldMapping.java","getDefiningMapping","1","1","3","4","0","1","1","0","0","0","0","0","no"
"1","0.9.6","FieldMapping.java","getMappingRepository","1","1","3","2","0","1","1","0","0","0","0","0","no"
"1","0.9.6","FieldMapping.java","getKeyMapping","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","FieldMapping.java","getJoinUnique","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","FieldMapping.java","getOrderColumnIO","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","FieldMapping.java","initializeMapping","1","1","6","1","0","1","0","0","0","0","0","0","no"
"1","0.9.6","FieldMapping.java","isJoinOuter","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","FieldMapping.java","isMapped","1","1","3","1","0","2","1","0","1","0","0","0","no"
"1","0.9.6","FieldMapping.java","getElementMapping","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","FieldMapping.java","getInverseMappings","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","FieldMapping.java","getMappingInfo","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","FieldMapping.java","getJoinColumnIO","1","1","3","1","0","2","1","0","1","0","0","0","no"
"1","0.9.6","FieldMapping.java","getDeclaringMapping","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","FieldMapping.java","getMappedByMapping","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","FieldMapping.java","getJoinIndex","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","FieldMapping.java","getValueMapping","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","FieldMapping.java","getStrategy","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","FieldMapping.java","getOrderColumn","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","JDBCColumnOrder.java","getColumn","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","JDBCColumnOrder.java","getColumnIO","1","1","3","0","0","2","1","0","1","0","0","0","no"
"1","0.9.6","MappingDefaultsImpl.java","getSubclassStrategy","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","MappingDefaultsImpl.java","getDataStoreIdColumnName","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","MappingDefaultsImpl.java","getVersionStrategy","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","MappingDefaultsImpl.java","getDiscriminatorStrategy","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","MappingDefaultsImpl.java","getOrderColumnName","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","MappingDefaultsImpl.java","getForeignKeyDeleteAction","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","MappingDefaultsImpl.java","getBaseClassStrategy","1","1","3","0","0","1","1","0","0","0","0","0","no"
