"dataset","type","TP","FP","TN","FN","Precision","Recall","AUC","F1","MCC","Kappa
"
"A","weighted","0.9957462619636382","0.776419560149844","0.223580439850156","0.004253738036361773","0.9949182390592499","0.9957462619636382","0.965656997732413","0.994572701791822","0.40841565742487385","0.33979142215958835"
"A","Class Buggy","172.0","53.0","155262.0","611.0","0.7644444444444445","0.21966794380587484","0.9656569977324129","0.3412698412698413","0.40841565742487385","0.33979142215958835"
"B","weighted","0.9946759797154143","0.9726888801321871","0.02731111986781265","0.005324020284585629","0.9915645755435131","0.9946759797154143","0.782949356587584","0.9923283129834345","0.08854486348220451","0.041240083970538306"
"B","Class Buggy","17.0","30.0","145522.0","749.0","0.3617021276595745","0.022193211488250653","0.7829494904210523","0.041820418204182044","0.08854486348220451","0.041240083970538306"
"B+","weighted","0.9955712899301521","0.7726978230511333","0.22730217694886665","0.004428710069847866","0.9947099218344692","0.9955712899301521","0.9679523119477313","0.9943631016625065","0.4113785499615509","0.3439002136658134"
"B+","Class Buggy","171.0","53.0","145499.0","595.0","0.7633928571428571","0.22323759791122716","0.9679523119477313","0.34545454545454546","0.4113785499615509","0.3439002136658134"
"C","weighted","0.9983640081799591","0.9395404787681944","0.060459521231805605","0.0016359918200408998","0.99836668492289","0.9983640081799591","0.8067644347506492","0.9976375704380135","0.2423371303738956","0.11093939979319765"
"C","Class Buggy","1.0","0.0","9763.0","16.0","1.0","0.058823529411764705","0.8067644347506492","0.1111111111111111","0.2423371303738956","0.11093939979319765"
