dataset,classifier,type,TP,FP,TN,FN,Precision,Recall,AUC,F1,MCC,Kappa
"OPENJPA","RandomForest","weighted","0.9948173583261797","0.8742681954561273","0.12573180454387275","0.005182641673820292","0.9927986105415032","0.9948173583261797","0.7810784965418844","0.9933513300407747","0.2291009658938316","0.18842980067445483"
"OPENJPA","RandomForest","Class Buggy","95.0","121.0","155194.0","688.0","0.4398148148148148","0.12132822477650064","0.7810790488032622","0.19019019019019018","0.2291009658938316","0.18842980067445483"
"OPENJPA","NaiveBayes","weighted","0.9440671885610322","0.822425317833932","0.17757468216606803","0.055932811438967826","0.9907136297210014","0.9440671885610322","0.7158423542781323","0.9664830751764399","0.03847538543554751","0.021247115431517586"
"OPENJPA","NaiveBayes","Class Buggy","136.0","8084.0","147231.0","647.0","0.01654501216545012","0.17369093231162197","0.7158395234272178","0.030212151505053866","0.03847538543554751","0.021247115431517586"
"OPENJPA","IBk","weighted","0.9942728286076695","0.8526690290702157","0.14733097092978426","0.0057271713923304594","0.9923747197966","0.9942728286076695","0.7803289027132229","0.9931294692540963","0.21617622717675594","0.19794676283269835"
"OPENJPA","IBk","Class Buggy","112.0","223.0","155092.0","671.0","0.33432835820895523","0.14303959131545338","0.7803289027132229","0.20035778175313057","0.21617622717675594","0.19794676283269835"
