@relation BOOKKEEPER_B+

@attribute nAuth numeric
@attribute methodHistories numeric
@attribute loc numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute wmc numeric
@attribute returns numeric
@attribute loops numeric
@attribute comparison numeric
@attribute maxNested numeric
@attribute math numeric
@attribute smells numeric
@attribute buggy {yes,no}

@data
"5","5","4","0","0","1","0","0","0","0","0","5","yes"
"0","0","8","0","0","1","0","0","0","0","0","11","no"
"1","1","40","0","0","6","5","0","1","1","4","20","yes"
"0","0","6","0","0","1","0","0","0","0","0","7","no"
"1","1","3","0","0","1","0","0","0","0","0","4","no"
"2","2","3","0","0","1","0","0","0","0","0","2","no"
"0","0","4","0","0","1","0","0","0","0","0","3","no"
"3","3","11","0","0","2","2","0","0","1","0","3","no"
"2","2","3","0","0","1","1","0","0","0","0","1","no"
"4","4","22","0","5","2","0","0","0","1","1","10","yes"
"0","0","3","1","0","1","0","0","0","0","0","3","no"
"0","0","3","0","0","1","0","0","0","0","0","2","no"
"0","0","3","0","0","3","1","0","2","0","0","1","no"
"0","0","7","0","0","1","0","0","0","0","0","3","no"
"1","1","3","0","0","1","0","0","0","0","0","1","no"
"0","0","9","0","0","2","2","0","0","1","1","5","no"
"4","4","45","0","2","10","1","2","0","3","4","29","no"
"0","0","5","1","0","2","0","0","0","0","0","4","no"
"0","0","3","0","0","1","0","0","0","0","0","1","no"
"0","0","3","0","0","1","1","0","0","0","1","4","no"
"3","3","19","0","0","5","1","2","1","2","1","5","no"
"5","5","8","0","1","2","0","0","1","1","0","4","yes"
"1","1","10","0","0","2","0","0","1","1","2","9","yes"
"0","0","3","0","0","1","1","0","0","0","0","1","no"
"2","2","6","1","0","1","1","0","0","0","0","7","no"
"0","0","3","0","0","1","1","0","0","0","0","1","no"
"0","0","7","0","1","1","0","0","0","0","0","5","no"
"0","0","3","0","0","1","0","0","0","0","0","4","no"
"3","3","27","0","0","7","3","0","2","2","3","17","yes"
"0","0","20","0","1","6","2","0","1","2","2","5","no"
"0","0","7","0","1","2","0","1","0","1","0","4","no"
"0","0","3","0","0","1","0","0","0","0","0","2","no"
"0","0","4","0","0","1","1","0","0","0","0","1","no"
"0","0","4","2","0","2","0","0","0","0","0","6","no"
"0","0","8","0","0","1","0","0","0","0","0","6","no"
"0","0","4","0","0","1","0","0","0","0","0","3","no"
"0","0","7","1","1","1","1","0","0","0","2","12","no"
"2","2","19","0","1","4","0","1","1","2","1","9","no"
"1","1","3","0","0","1","1","0","0","0","0","2","no"
"1","1","3","0","0","1","1","0","0","0","0","1","no"
"0","0","9","0","0","1","0","0","0","0","3","9","no"
"0","0","9","2","1","2","1","0","0","1","0","7","no"
"2","2","26","0","2","6","2","0","2","1","3","9","yes"
"2","2","3","2","0","1","0","0","0","0","0","1","no"
"1","1","3","0","0","1","1","0","0","0","0","1","no"
"0","0","7","0","0","1","0","0","0","0","0","6","no"
"2","2","5","0","0","2","0","1","0","1","0","4","yes"
"4","4","30","0","0","10","1","0","4","2","2","10","yes"
"1","1","4","1","0","1","0","0","0","0","1","3","no"
"1","1","3","0","1","1","0","0","0","0","0","5","yes"
"1","1","3","0","1","1","0","0","0","0","0","3","no"
"0","0","3","0","0","1","0","0","0","0","0","8","no"
"1","1","4","1","0","1","0","0","0","0","1","5","yes"
"1","1","3","0","0","1","0","0","0","0","0","3","no"
"1","1","20","0","0","6","3","1","3","3","1","7","yes"
"0","0","4","0","0","1","0","0","0","0","0","3","no"
"1","1","4","0","0","2","1","0","0","0","1","3","no"
"1","1","3","0","0","1","1","0","0","0","2","2","no"
"1","1","4","0","0","1","0","0","0","0","0","2","no"
"1","1","3","0","0","1","1","0","0","0","0","2","no"
"0","0","3","0","0","1","0","0","0","0","0","3","no"
"0","0","3","0","0","1","1","0","0","0","0","1","no"
"1","1","9","0","0","3","0","1","1","2","0","4","no"
"1","1","4","0","0","1","0","0","0","0","0","2","no"
"0","0","3","0","0","1","0","0","0","0","0","2","no"
"0","0","3","0","0","1","0","0","0","0","0","3","no"
"0","0","3","0","0","1","1","0","0","0","0","1","no"
"0","0","3","0","0","1","1","0","0","0","0","1","no"
"1","1","3","0","0","1","0","0","0","0","0","3","no"
"1","1","3","0","0","1","0","0","0","0","0","1","no"
"1","1","3","0","0","1","0","0","0","0","0","1","no"
"0","0","4","0","0","1","0","0","0","0","0","1","no"
"1","1","4","0","0","1","0","0","0","0","0","3","no"
"2","2","4","0","0","1","1","0","0","0","0","2","no"
"2","2","4","0","0","1","1","0","0","0","0","2","no"
"0","0","4","0","0","1","0","0","0","0","0","1","no"
"2","2","4","0","0","1","1","0","0","0","0","2","no"
"0","0","3","0","0","1","0","0","0","0","0","1","no"
"2","2","4","0","0","1","1","0","0","0","0","2","no"
"1","1","3","0","0","1","1","0","0","0","0","1","no"
"2","2","4","0","0","1","1","0","0","0","0","2","no"
"3","3","4","0","0","1","1","0","0","0","0","2","no"
"1","1","3","0","0","1","1","0","0","0","0","1","no"
"1","1","3","0","0","1","1","0","0","0","0","1","no"
"2","2","4","0","0","1","1","0","0","0","0","2","no"
"1","1","7","1","0","2","2","0","1","1","0","4","no"
"3","3","4","0","0","1","1","0","0","0","0","2","no"
"1","1","3","0","0","1","1","0","0","0","0","1","no"
"0","0","4","0","0","1","0","0","0","0","0","1","no"
"1","1","3","0","0","1","1","0","0","0","0","1","no"
"2","2","4","0","0","1","1","0","0","0","0","2","no"
"2","2","4","0","0","1","1","0","0","0","0","2","no"
"0","0","3","0","0","1","0","0","0","0","0","1","no"
"2","2","4","0","0","1","1","0","0","0","0","2","no"
"2","2","7","0","0","2","2","0","1","1","0","4","no"
"2","2","4","0","0","1","1","0","0","0","0","2","no"
"2","2","4","0","0","1","1","0","0","0","0","2","no"
"2","2","4","0","0","1","1","0","0","0","0","2","no"
"2","2","4","0","0","1","1","0","0","0","0","2","no"
"2","2","4","0","0","1","1","0","0","0","0","2","no"
"1","1","7","0","1","2","2","0","1","1","0","2","no"
"1","1","11","0","1","3","2","1","1","1","0","3","no"
"1","1","2","0","0","1","0","0","0","0","0","2","no"
"1","1","6","1","0","3","2","0","0","1","0","4","no"
"0","0","5","0","0","1","0","0","0","0","0","4","no"
"1","1","25","0","2","4","1","0","2","1","2","2","no"
"1","1","16","2","0","1","0","0","0","0","0","1","no"
"1","1","29","1","0","1","0","0","0","0","0","1","no"
"1","1","8","0","0","2","0","0","1","1","0","7","yes"
"1","1","9","0","5","2","1","0","1","1","1","55","yes"
"1","1","17","0","1","3","2","0","0","2","1","4","no"
"1","1","4","0","1","1","0","0","0","0","1","3","no"
"0","0","4","1","0","1","0","0","0","0","0","2","no"
"1","1","26","1","1","6","1","0","2","2","4","15","no"
"1","1","5","0","0","1","1","0","0","0","0","5","no"
"1","1","8","1","0","2","1","0","0","1","1","2","no"
"1","1","10","0","0","4","3","0","2","1","0","5","no"
"1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","1","1","0","0","1","0","0","0","0","0","2","yes"
"1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","1","1","0","0","1","0","0","0","0","0","2","no"
"1","1","43","0","0","14","3","0","6","3","5","18","no"
"2","2","7","0","1","2","1","0","1","1","0","6","no"
"0","0","3","0","0","1","1","0","0","0","0","1","no"
"0","0","5","1","0","1","0","0","0","0","0","4","no"
"0","0","3","0","0","1","1","0","0","0","0","1","no"
"0","0","8","0","0","2","2","0","1","1","2","2","no"
"0","0","3","0","0","1","1","0","0","0","0","1","no"
"1","1","13","0","1","2","1","0","1","1","2","5","no"
"0","0","4","1","0","1","0","0","0","0","0","2","no"
"2","2","8","2","0","2","1","0","0","1","0","2","no"
"2","2","13","0","0","2","0","0","0","1","1","14","yes"
"1","1","33","1","1","7","2","0","1","3","1","16","no"
"1","1","14","1","0","3","0","0","0","1","3","8","no"
"5","5","38","0","6","4","0","1","1","2","0","13","yes"
"1","1","4","1","0","1","0","0","0","0","1","2","no"
"2","2","8","0","0","2","2","0","0","1","0","3","no"
"1","1","9","1","0","1","1","0","0","0","0","10","no"
"3","3","6","1","1","1","0","0","0","0","0","1","no"
"1","1","3","1","0","1","0","0","0","0","0","1","no"
"4","4","92","0","1","22","1","0","3","3","11","35","yes"
"0","0","10","0","0","2","0","0","1","1","0","7","no"
"1","1","7","0","1","2","0","0","1","1","1","5","no"
"1","1","1","1","0","1","0","0","0","0","0","2","no"
"2","2","7","0","7","2","0","0","1","1","1","11","no"
"1","1","3","0","0","1","0","0","0","0","0","3","no"
"1","1","3","0","0","1","0","0","0","0","0","2","no"
"1","1","5","1","1","2","1","0","1","1","0","3","no"
"1","1","3","0","0","1","0","0","0","0","0","2","no"
"1","1","3","0","2","1","0","0","0","0","0","1","no"
"1","1","3","0","1","1","0","0","0","0","0","2","no"
"1","1","4","1","0","2","0","0","1","0","0","3","no"
"1","1","3","1","0","1","1","0","0","0","0","1","no"
"1","1","5","0","0","1","0","0","0","1","0","3","no"
"1","1","12","0","8","2","1","0","1","1","6","14","no"
"1","1","3","2","0","2","1","0","1","0","0","1","no"
"1","1","4","0","0","1","0","0","0","0","0","2","no"
"1","1","3","0","0","1","1","0","0","0","0","1","no"
"1","1","5","1","1","2","1","0","1","1","0","3","no"
"1","1","3","1","0","1","1","0","0","0","0","1","no"
"1","1","3","1","0","1","1","0","0","0","0","1","no"
"0","0","2","1","0","1","0","0","0","0","0","2","no"
"1","1","3","1","0","1","1","0","0","0","0","1","no"
"1","1","11","0","0","3","0","0","0","1","1","4","yes"
"1","1","3","0","0","1","0","0","0","0","0","2","no"
"1","1","4","1","0","2","2","0","1","1","1","4","no"
"0","0","8","0","0","1","0","0","0","0","0","7","no"
"1","1","25","3","0","6","2","0","0","2","2","9","no"
"1","1","11","0","1","3","2","0","1","1","0","18","no"
"1","1","14","0","1","3","2","0","1","1","1","18","no"
"0","0","8","0","0","1","0","0","0","0","0","7","no"
"1","1","14","0","1","3","2","0","1","1","1","18","no"
"0","0","5","0","0","1","0","0","0","0","0","7","no"
"0","0","5","0","0","1","0","0","0","0","0","7","no"
"1","1","10","3","1","3","2","0","0","2","0","2","no"
"1","1","7","0","1","2","0","0","0","1","0","13","no"
"1","1","17","0","1","4","0","0","0","2","0","13","no"
"1","1","5","0","1","1","0","0","0","0","0","13","no"
"1","1","17","2","0","4","0","0","0","2","2","6","no"
"1","1","2","0","0","1","0","0","0","0","0","3","yes"
"1","1","3","1","0","1","0","0","0","0","0","2","no"
"2","2","14","0","1","5","1","0","0","1","1","6","no"
"2","2","7","0","0","2","1","0","0","1","1","3","no"
"0","0","6","1","0","2","2","0","1","1","0","9","no"
"1","1","3","0","1","1","0","0","0","0","0","4","no"
"0","0","9","0","0","3","0","1","0","1","0","3","no"
"1","1","5","0","0","2","0","1","0","1","0","2","no"
"0","0","6","1","0","2","2","0","1","1","0","9","no"
"1","1","3","0","1","1","0","0","0","0","0","3","no"
"3","3","8","0","1","2","0","0","0","1","0","1","no"
"1","1","1","1","0","1","0","0","0","0","0","1","no"
"1","1","15","0","0","3","1","0","1","1","2","7","no"
"1","1","3","0","0","1","1","0","0","0","0","2","no"
"1","1","3","0","0","1","1","0","0","0","0","6","no"
"1","1","17","0","4","2","1","0","1","1","0","13","no"
"3","3","25","0","0","5","3","0","0","2","2","16","no"
"0","0","3","0","0","1","0","0","0","0","0","3","no"
"0","0","3","0","0","1","0","0","0","0","0","3","no"
"1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","1","3","0","0","1","1","0","0","0","0","1","no"
"1","1","3","0","0","1","1","0","0","0","0","2","no"
"1","1","3","2","0","1","1","0","0","0","0","1","no"
"1","1","3","0","0","1","1","0","0","0","0","2","no"
"1","1","3","0","0","1","1","0","0","0","0","2","no"
"1","1","3","0","0","1","1","0","0","0","0","2","no"
"1","1","5","0","2","3","0","0","1","1","0","2","no"
"1","1","3","0","0","1","1","0","0","0","0","1","no"
"1","1","4","2","0","2","1","0","1","1","0","2","no"
"1","1","3","0","0","1","1","0","0","0","0","1","no"
"1","1","4","0","2","2","2","0","0","1","0","8","no"
"1","1","3","0","0","1","1","0","0","0","1","1","no"
"1","1","3","0","0","1","1","0","0","0","0","1","no"
"0","0","5","0","0","1","0","0","0","0","0","1","no"
"1","1","7","0","0","4","1","0","3","1","3","6","no"
"1","1","31","0","0","17","1","3","10","2","9","28","no"
"1","1","5","0","0","4","0","0","3","1","0","4","no"
"0","0","9","0","0","1","0","0","0","0","0","1","no"
"0","0","5","0","0","1","0","0","0","0","0","1","no"
"1","1","6","0","0","3","3","0","1","1","0","5","no"
"1","1","6","0","0","3","1","0","2","1","2","5","no"
"0","0","3","0","0","1","0","0","0","0","0","6","no"
"0","0","3","0","0","1","0","0","0","0","0","6","no"
"0","0","3","0","0","1","0","0","0","0","0","6","no"
"0","0","3","0","0","1","0","0","0","0","0","6","no"
"0","0","3","0","0","1","0","0","0","0","0","6","no"
"0","0","3","0","0","1","0","0","0","0","0","6","no"
"3","3","4","0","0","1","0","0","0","0","0","5","no"
"0","0","4","1","0","1","0","0","0","0","0","5","no"
"1","1","8","0","0","2","0","0","0","1","1","5","no"
"1","1","3","0","0","1","1","0","0","0","0","1","no"
"1","1","9","0","0","2","0","0","0","1","1","5","no"
"0","0","3","0","0","1","0","0","0","0","0","2","no"
"3","3","18","0","0","5","0","0","0","1","3","8","no"
"0","0","3","0","0","1","0","0","0","0","0","2","no"
"2","2","12","0","1","4","0","0","1","2","2","7","yes"
"2","2","4","2","1","2","1","0","0","1","0","2","no"
"0","0","7","0","0","1","0","0","0","0","0","4","no"
"1","1","4","0","1","1","0","0","0","0","1","4","no"
"4","4","31","0","0","7","0","0","0","1","4","16","yes"
"3","3","14","0","1","5","0","0","2","3","2","9","yes"
"3","3","10","2","0","5","0","0","0","2","2","9","no"
"0","0","3","0","0","1","0","0","0","0","0","2","no"
"3","3","13","0","1","7","0","1","2","3","2","8","yes"
"2","2","18","0","0","9","0","0","1","2","3","15","no"
"0","0","3","0","0","1","0","0","0","0","0","2","no"
"3","3","22","0","0","6","0","0","0","1","4","11","no"
"0","0","3","0","0","1","0","0","0","0","0","2","no"
"2","2","12","0","0","2","1","0","1","1","0","6","no"
"3","3","30","0","0","10","2","0","2","3","4","19","no"
"0","0","9","0","0","1","0","0","0","0","0","4","no"
"1","1","3","0","0","1","1","0","0","0","0","1","no"
"0","0","4","1","0","1","0","0","0","0","0","5","no"
"1","1","3","0","0","1","1","0","0","0","0","1","no"
"1","1","9","0","0","2","0","0","0","1","1","5","no"
"1","1","3","0","0","1","1","0","0","0","0","1","no"
"1","1","3","1","0","1","1","0","0","0","0","1","no"
"1","1","3","0","1","1","1","0","0","0","0","5","no"
"1","1","3","0","1","1","1","0","0","0","0","5","no"
"1","1","3","0","0","1","1","0","0","0","0","1","no"
"1","1","16","0","1","5","1","0","0","1","1","9","no"
"1","1","3","0","0","1","1","0","0","0","0","2","no"
"1","1","3","0","0","1","1","0","0","0","0","1","no"
"1","1","21","0","1","4","0","2","0","1","0","11","no"
"1","1","3","0","0","1","0","0","0","0","0","2","no"
"1","1","3","2","0","1","1","0","0","0","0","2","no"
"0","0","12","1","1","2","0","0","0","1","0","5","no"
"1","1","10","0","0","5","0","1","0","3","2","5","no"
"1","1","31","0","1","8","0","1","1","3","2","12","no"
"2","2","21","1","1","5","1","0","0","2","1","11","no"
"3","3","21","1","0","4","0","0","1","1","1","13","yes"
"1","1","3","0","0","1","1","0","0","0","0","2","no"
"2","2","12","0","0","4","0","0","0","2","2","8","no"
"0","0","4","0","0","1","0","0","0","0","0","2","no"
"1","1","3","0","1","1","0","0","0","0","0","2","no"
"1","1","3","0","0","1","0","0","0","0","0","2","no"
"1","1","3","0","0","1","1","0","0","0","0","1","no"
"3","3","33","0","0","10","2","0","1","1","3","19","no"
"1","1","8","0","0","5","0","0","0","2","0","5","no"
"3","3","28","0","0","11","2","1","2","3","4","21","yes"
"0","0","9","0","0","1","0","0","0","0","0","3","no"
"3","3","43","0","0","15","2","0","3","2","5","32","no"
"2","2","4","0","0","1","0","0","0","0","0","6","no"
"1","1","3","0","0","1","1","0","0","0","0","1","no"
"1","1","3","0","0","1","1","0","0","0","0","1","no"
"3","3","22","0","0","9","1","0","3","3","4","17","no"
"0","0","6","0","0","1","0","0","0","0","0","3","no"
"0","0","9","0","0","2","0","0","0","1","0","6","no"
"1","1","1","1","0","1","0","0","0","0","0","1","no"
"1","1","3","0","0","1","1","0","0","0","0","1","no"
"1","1","5","0","1","1","1","0","0","0","0","3","no"
"2","2","12","0","1","1","1","0","0","0","0","1","no"
"1","1","4","0","0","1","0","0","0","0","0","2","no"
"0","0","3","0","0","1","0","0","0","0","0","1","no"
"1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","1","3","0","1","1","1","0","0","0","0","5","no"
"2","2","3","0","1","1","1","0","0","0","0","13","no"
"2","2","32","2","0","2","2","0","1","1","0","13","no"
"3","3","13","0","0","1","1","0","0","0","0","3","no"
"3","3","3","0","2","1","1","0","0","0","0","3","no"
"1","1","8","0","0","2","0","0","0","1","0","4","no"
"1","1","3","0","0","1","1","0","0","0","0","1","no"
"0","0","4","0","0","1","0","0","0","0","0","4","no"
"1","1","3","0","0","1","1","0","0","0","0","1","no"
"1","1","3","0","1","1","1","0","0","0","0","1","no"
"1","1","3","0","1","1","1","0","0","0","0","1","no"
"1","1","11","1","1","3","1","0","0","1","2","8","no"
"1","1","3","0","1","1","1","0","0","0","0","8","no"
"0","0","10","0","0","3","0","0","1","1","0","25","no"
"1","1","3","0","0","2","1","0","1","0","0","1","no"
"1","1","5","0","0","1","1","0","0","0","0","2","no"
"0","0","8","0","0","2","0","0","1","1","0","25","no"
"0","0","3","0","0","1","0","0","0","0","0","25","no"
"1","1","5","0","0","4","2","0","2","1","0","5","no"
"1","1","3","0","0","1","1","0","0","0","1","3","no"
"1","1","3","0","0","1","1","0","0","0","0","1","no"
"0","0","2","0","0","1","0","0","0","0","0","5","no"
"0","0","3","0","0","1","0","0","0","0","0","5","no"
"1","1","3","0","0","1","1","0","0","0","0","1","no"
"1","1","3","0","0","1","1","0","0","0","0","1","no"
"0","0","4","0","0","1","0","0","0","0","0","5","no"
"1","1","11","0","0","3","1","1","0","2","1","7","yes"
"1","1","6","0","0","4","3","1","0","2","0","13","no"
"1","1","3","0","0","1","1","0","0","0","0","1","no"
"0","0","3","1","0","1","0","0","0","0","0","2","no"
"0","0","3","2","1","1","0","0","0","0","0","4","no"
"2","2","3","1","0","1","1","0","0","0","0","63","no"
"2","2","3","5","0","1","1","0","0","0","0","2","no"
"2","2","3","4","0","1","1","0","0","0","0","1","no"
"1","1","9","0","2","2","2","0","0","1","0","154","no"
"1","1","3","0","2","1","1","0","0","0","0","392","no"
"2","2","3","14","1","1","1","0","0","0","0","56","no"
"2","2","3","2","1","1","0","0","0","0","0","35","no"
"1","1","9","0","2","2","2","0","0","1","0","154","no"
"2","2","3","6","0","1","1","0","0","0","0","3","no"
"2","2","7","3","3","4","3","0","0","2","0","146","no"
"2","2","3","3","2","1","1","0","0","0","0","56","no"
"1","1","3","0","2","1","1","0","0","0","0","392","no"
"2","2","3","5","0","1","1","0","0","0","0","12","no"
"1","1","13","0","7","4","0","0","0","1","0","56","no"
"2","2","3","0","1","1","1","0","0","0","0","14","no"
"1","1","3","0","2","1","1","0","0","0","0","392","no"
"2","2","3","0","1","1","1","0","0","0","0","14","no"
"2","2","3","5","0","1","1","0","0","0","0","2","no"
"2","2","17","1","6","5","2","0","1","1","0","111","no"
"1","1","3","0","2","1","1","0","0","0","0","392","no"
