@relation BOOKKEEPER_B

@attribute nAuth numeric
@attribute methodHistories numeric
@attribute loc numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute wmc numeric
@attribute returns numeric
@attribute loops numeric
@attribute comparison numeric
@attribute maxNested numeric
@attribute math numeric
@attribute smells numeric
@attribute buggy {yes,no}

@data
"0","0","8","0","2","1","1","0","0","0","0","0","no"
"1","1","3","0","1","1","0","0","0","0","0","0","no"
"1","1","1","3","0","1","0","0","0","0","0","0","no"
"0","0","4","0","1","1","0","0","0","0","0","0","no"
"1","1","3","1","1","1","0","0","0","0","0","0","no"
"2","2","17","0","2","1","1","0","0","0","1","0","no"
"2","2","10","0","0","3","2","0","0","1","1","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","yes"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"3","3","3","0","0","1","0","0","0","0","0","0","yes"
"5","5","4","0","0","1","0","0","0","0","0","0","yes"
"0","0","8","0","0","1","0","0","0","0","0","0","no"
"1","1","40","0","0","6","5","0","1","1","4","0","yes"
"0","0","6","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","0","0","0","0","0","0","no"
"2","2","3","0","0","1","0","0","0","0","0","0","no"
"0","0","4","0","0","1","0","0","0","0","0","0","no"
"3","3","11","0","0","2","2","0","0","1","0","0","no"
"2","2","3","0","0","1","1","0","0","0","0","0","no"
"4","4","22","0","5","2","0","0","0","1","1","0","yes"
"0","0","3","1","0","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"0","0","3","0","0","3","1","0","2","0","0","0","no"
"0","0","7","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","0","0","0","0","0","0","no"
"0","0","9","0","0","2","2","0","0","1","1","0","no"
"4","4","45","0","2","10","1","2","0","3","4","0","no"
"0","0","5","1","0","2","0","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","1","0","0","0","1","0","no"
"3","3","19","0","0","5","1","2","1","2","1","0","no"
"5","5","8","0","1","2","0","0","1","1","0","0","yes"
"1","1","10","0","0","2","0","0","1","1","2","0","yes"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"2","2","6","1","0","1","1","0","0","0","0","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"0","0","7","0","1","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"3","3","27","0","0","7","3","0","2","2","3","0","yes"
"0","0","20","0","1","6","2","0","1","2","2","0","no"
"0","0","7","0","1","2","0","1","0","1","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"0","0","4","0","0","1","1","0","0","0","0","0","no"
"0","0","4","2","0","2","0","0","0","0","0","0","no"
"0","0","8","0","0","1","0","0","0","0","0","0","no"
"0","0","4","0","0","1","0","0","0","0","0","0","no"
"0","0","7","1","1","1","1","0","0","0","2","0","no"
"2","2","19","0","1","4","0","1","1","2","1","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
