#,Version,fileName,methodName,nAuth,methodHistories,loc,fain,fanout,wmc,returns,loops,comparison,maxNested,math,smells,buggy
"1","4.0.0","LedgerEntryPage.java","toString","1","1","9","0","2","2","1","0","0","0","0","6","no"
"1","4.0.0","LedgerEntryPage.java","equals","1","1","4","0","2","3","1","0","2","0","0","4","no"
"1","4.0.0","LedgerEntryPage.java","inUse","1","1","3","0","0","2","1","0","0","0","0","1","no"
"1","4.0.0","LedgerEntryPage.java","isPinned","1","1","3","0","0","1","1","0","0","0","0","1","no"
"1","4.0.0","LedgerEntryPage.java","checkPage","1","1","5","5","0","2","0","0","0","1","0","1","no"
"1","4.0.0","LedgerEntryPage.java","getOffset","1","1","4","1","1","1","1","0","0","0","0","2","no"
"1","4.0.0","LedgerEntryPage.java","releasePage","1","1","6","0","0","2","0","0","0","1","0","2","no"
"1","4.0.0","LedgerEntryPage.java","setClean","0","0","3","0","0","2","0","0","1","0","0","2","no"
"1","4.0.0","LedgerEntryPage.java","readPage","1","1","10","0","3","3","0","1","1","2","5","3","no"
"1","4.0.0","LedgerEntryPage.java","getVersion","0","0","3","0","0","1","1","0","0","0","0","1","no"
"1","4.0.0","LedgerEntryPage.java","isClean","0","0","3","0","0","1","1","0","0","0","0","1","no"
"1","4.0.0","LedgerEntryPage.java","pin","1","1","3","0","0","1","0","0","0","0","0","2","no"
"1","4.0.0","LedgerEntryPage.java","zeroPage","1","1","6","0","1","1","0","0","0","0","0","1","no"
"1","4.0.0","LedgerEntryPage.java","setLedger","0","0","3","0","0","1","0","0","0","0","0","2","no"
"1","4.0.0","LedgerEntryPage.java","usePage","1","1","3","0","0","1","0","0","0","0","0","2","no"
"1","4.0.0","LedgerEntryPage.java","unpin","1","1","3","0","0","1","0","0","0","0","0","2","no"
"1","4.0.0","LedgerEntryPage.java","getLastEntry","2","2","8","0","1","3","2","1","0","2","3","2","no"
"1","4.0.0","LedgerEntryPage.java","getPageToWrite","1","1","5","0","1","1","1","0","0","0","0","1","no"
"1","4.0.0","LedgerEntryPage.java","setFirstEntry","0","0","6","0","0","2","0","0","1","1","2","2","no"
